169;A m lo nv p
2784;A m lo v p
4749;A m lo mv mf
6948;c# s x x p
9297;A m lo nv p
12892;A m lo x p
14600;A l lo mv p
19573;c# s x x p
21069;x x x x x
22147;A m hi v f
24604;A l hi nv mf
34679;F m x x x
37496;A m me nv p
41687;A m x nv p
45462;A m me mv p
49211;c# m x x p
51614;A m me v mf
55880;F s x x x
57505;A m me nv p
60942;A m me v mf
63606;A m me mv f
65964;A m me nv mf
69987;A l me mv mf
76317;A s me nv p
79640;c# s x x p
80988;A s me nv mf
82315;A l me mv mf
86708;A m me nv p
88976;A s me nv mf
90406;F s x x x
91642;c# m x x p
93449;A m me nv mf
96226;A m me v f
99128;A s me x mf
100740;A s me nv mf
102359;x x x x x
102995;F s x x x
103944;c# s x x p
105058;A l lo nv mf
110436;c# s x x mf
111022;F l x x x
119896;A m lo nv mf
124108;A s lo nv p
126338;A m lo mv p
129208;A s lo mv mf
130641;A l lo mv f
135907;A m lo nv p
138435;A l lo nv p
144361;c# m x x p
147682;A l lo nv p
152912;A m lo x p
156320;A s lo mv mf
158138;A s lo mv p
159536;c# s x x mf
160976;A s lo mv p
162653;A s lo mv p
163524;A s lo mv p
165270;A s lo mv p
166349;A m lo mv mf
168582;c# s x x mf
169492;A m lo mv mf
172083;A l lo nv mf
177236;c# s x x mf
179107;A l me nv f
183275;A s me nv mf
184832;A l me nv p
189809;c# s x x p
192375;A l me nv f
196535;A l me nv p
199906;A s me mv p
202662;A l me mv f
208041;c# s x x p
209330;A l me mv f
214058;A l me nv f
219379;c# m x x p
222217;A m me nv p
226808;A l me v mf
232048;c# m x x p
234237;A l me nv p
239311;A m me nv p
242808;c# m x x mf
244910;A m me nv f
249094;A l me v mf
254351;c# s x x mf
255836;A m lo mv f
258941;A s me mv f
260664;A l hi mv f
264078;F m x x x
266689;A m me nv p
268493;A l me nv p
274950;c# s x x p
276427;A m me v p
279784;A s me v p
281683;A m me v p
284850;A s me v p
287469;c# s x x p
288236;A s me nv p
290613;A m lo nv p
294278;A s lo x p
297160;c# s x x mf
298183;A l lo x p
304583;c# s x x p
305799;A l lo x p
311118;A s me v mf
313222;A m me v mf
316404;c# s x x mf
317249;A l lo x p
319988;x x x x x
320126;A m me nv mf
322814;A m me nv p
325327;A s me mv p
327263;A l me mv mf
331655;F m x x x
334514;A m me nv p
338454;A s me mv p
340503;A m me mv mf
343771;c# s x x mf
344383;A s me mv mf
345445;A s me mv mf
347188;A m me mv p
349864;A s me mv f
351349;F l x x x
356443;c# s x x p
358055;A l me nv p
358063;x x x x x
363205;A l me v mf
368613;A s me nv p
371184;c# s x x p
373092;A l me mv mf
378569;A s me nv p
381491;c# m x x p
383958;A s me nv p
385968;A l me nv p
393413;c# s x x p
395062;A m me nv p
397326;x x x x x
397411;A m me nv mf
399582;A l me mv f
404862;A m me mv p
408214;c# s x x p
409781;A l me v p
416004;F m x x x
418843;A l me v p
424610;A l me v f
429023;c# s x x mf
429882;A m hi v f
433166;A m me v f
435133;A m hi v f
437083;A s me v f
438751;x x x x x
439324;A m me v f
441314;A m hi nv f
444560;A l hi nv f
449730;c# l x x mf
453153;A l me nv mf
458780;A m me nv p
463017;c# l x x mf
468235;c# l x x mf
473615;F m x x x
476682;A l me x p
485155;c# m x x p
486965;A l me mv mf
491652;A l hi mv mf
495162;A s hi mv mf
497150;A l hi mv f
501019;F l x x x
504556;A l me v p
508561;A l hi mv mf
511714;A s hi mv mf
512411;A l me mv f
515051;c# s x x p
515760;A l me nv mf
519376;A m me nv p
521003;x x x x x
521067;A l me nv mf
523108;A l me nv mf
524892;c# l x x p
526321;A s me nv mf
527793;A l me x f
532862;c# m x x p
534128;c# m x x p
535474;A l me v mf
538616;A l me nv mf
542319;A l me nv p
547120;c# m x x p
549464;A l me nv mf
553964;A m me v mf
556078;A m me mv f
558842;F m x x x
561432;A l me mv p
561458;x x x x x
572263;c# s x x p
574247;A l me nv p
584425;F s x x x
585388;c# m x x mf
588009;A l hi mv f
592242;x x x x x
592361;A l me nv mf
597783;A m me mv mf
600862;A l me mv p
605603;F m x x x
607778;c# l x x mf
611023;A l me nv mf
616505;x x x x x
616506;x x x x x
616590;A l lo nv p
623699;F s x x x
624426;c# l x x mf
626875;A l lo nv p
635725;A l lo nv p
645117;c# s x x mf
645988;A l lo v p
654446;c# m x x p
656498;A l lo x p
664049;F s x x x
665779;A m lo nv p
668046;x x x x x
668608;A l lo x p
672741;c# s x x p
673624;F l x x x
676053;G l me nv mf
698471;F s x x x
700834;G m lo nv mf
708277;A s hi v f
709901;c# s x x p
710868;G l me x mf
718516;c# s x x p
719538;F m x x x
721467;G s lo mv mf
726229;A l hi v mf
727960;A l hi v f
730024;c# s x x p
731004;G m me x p
733883;A m lo x x
736917;c# s x x p
737475;c# s x x p
737944;G x lo x p
742976;c# s x x p
744123;A s lo nv p
747132;G l lo mv f
752698;c# s x x p
753389;G l lo x p
760562;c# s x x p
761461;G l lo x p
767798;c# s x x p
768676;G l lo v p
777246;c# s x x mf
778256;G l lo nv mf
791845;F l x x x
794552;G m lo nv p
798454;G m me x mf
802499;G l me nv f
806069;A m hi x f
808999;F l x x x
